transaction_id,date,user_id,merchant,amount
50,2026/02/03,083907955,Best Buy,$321.14
51,2026/01/24,075910798,Walmart,$515.38
52,2026/02/17,055001384,eBay,$279.11
53,2026/03/16,082900911,Best Buy,$506.48
54,2026/01/15,071201647,eBay,$290.81
55,2026/02/23,031317636,Amazon,$134.63
56,2026/02/10,111015748,Amazon,$473.35
57,2026/01/16,011601029,Etsy,$449.96
58,2026/01/13,252070435,Amazon,$408.06
59,2026/03/28,044112488,Walmart,$62.63
60,2026/02/26,053111674,eBay,$213.12
61,2026/02/07,321170282,Etsy,$83.44
62,2026/01/03,321270742,Amazon,$364.57
63,2026/03/05,051900395,Etsy,$267.70
64,2026/01/14,067012099,Target,$587.68
65,2026/03/26,061220146,Walmart,$94.61
66,2026/03/30,071000013,Best Buy,$207.09
67,2026/03/16,081302633,Best Buy,$41.77
68,2026/01/05,101100692,Target,$316.64
69,2026/03/11,074071926,eBay,$400.42
70,2026/02/02,075911616,Target,$599.08
71,2026/03/17,082908573,Amazon,$288.57
72,2026/03/02,252070817,eBay,$286.95
73,2026/03/16,063113772,Target,$383.51
74,2026/03/21,031318907,Amazon,$381.80
75,2026/02/11,071922227,Etsy,$226.87
76,2026/02/19,031317021,Target,$397.24
77,2026/02/28,103103642,eBay,$194.21
78,2026/01/30,103101505,Best Buy,$183.07
79,2026/03/23,322275157,Best Buy,$532.70
80,2026/01/18,107006651,Best Buy,$306.00
81,2026/01/09,111918230,eBay,$253.78
82,2026/03/11,065400140,Amazon,$362.85
83,2026/01/14,082903536,Target,$588.13
84,2026/03/05,021913655,Target,$506.72
85,2026/02/06,041000014,Best Buy,$280.80
86,2026/01/26,053208040,Etsy,$521.18
87,2026/02/15,121132682,eBay,$475.26
88,2026/03/23,272471179,Amazon,$163.25
89,2026/03/05,021113086,eBay,$513.79
90,2026/01/15,103109840,eBay,$102.25
91,2026/01/26,114904979,eBay,$209.57
92,2026/02/24,121135773,eBay,$434.28
93,2026/03/29,065401369,Amazon,$183.23
94,2026/03/27,021310326,Etsy,$44.79
95,2026/01/10,075900229,eBay,$429.52
96,2026/01/18,061206843,Walmart,$152.40
97,2026/01/11,107004459,Best Buy,$216.51
98,2026/03/18,111914917,Etsy,$94.42
99,2026/01/01,082903293,Amazon,$217.32
100,2026/01/26,062203638,Target,$387.90
101,2026/03/27,074903353,Target,$315.32
102,2026/01/28,031317380,eBay,$575.68
103,2026/03/02,064107376,Target,$109.52
104,2026/01/24,122106109,eBay,$127.10
105,2026/03/28,072413557,Amazon,$203.19
106,2026/03/03,122240861,Best Buy,$313.99
107,2026/03/29,112307222,eBay,$378.68
108,2026/03/04,071923190,Amazon,$380.93
109,2026/02/11,291471066,Amazon,$325.89
110,2026/01/12,063113138,Walmart,$286.57
111,2026/02/18,111907445,Etsy,$155.39
112,2026/02/02,242170002,Etsy,$104.46
113,2026/03/27,091201258,Etsy,$458.59
114,2026/03/05,107006677,Etsy,$42.07
115,2026/03/25,322271779,Best Buy,$445.23
116,2026/03/19,054001550,Best Buy,$465.07
117,2026/02/03,282970437,Etsy,$543.82
118,2026/03/19,063112294,Best Buy,$352.73
119,2026/02/24,253171540,Amazon,$551.33
120,2026/01/03,313172052,Etsy,$494.82
121,2026/03/28,101103686,Etsy,$92.64
122,2026/01/06,064200930,Walmart,$472.22
123,2026/03/14,083900619,Target,$228.68
124,2026/03/09,071126531,Etsy,$523.54
125,2026/02/04,101107080,Best Buy,$145.44
126,2026/01/12,075900863,eBay,$225.00
127,2026/03/17,031309314,Etsy,$371.96
128,2026/02/08,053012197,Walmart,$456.71
129,2026/01/22,061104275,eBay,$530.67
130,2026/02/28,031309440,Walmart,$93.56
131,2026/02/20,122231935,Best Buy,$563.68
132,2026/03/27,082901101,eBay,$252.17
133,2026/03/11,074902215,eBay,$589.09
134,2026/02/24,311074288,Target,$382.47
135,2026/03/13,011401533,Amazon,$131.21
136,2026/01/31,111104785,Amazon,$50.66
137,2026/02/03,111300880,Amazon,$272.04
138,2026/02/18,011601443,Etsy,$571.08
139,2026/02/28,111901564,Target,$436.90
140,2026/03/09,062102933,Target,$220.14
141,2026/02/05,065302358,Walmart,$84.89
142,2026/03/17,071112354,Target,$368.79
143,2026/01/13,083900680,eBay,$595.71
144,2026/03/19,091302788,Amazon,$553.50
145,2026/02/17,092902404,Target,$365.21
146,2026/02/15,121142407,eBay,$499.24
147,2026/01/23,107003829,Best Buy,$397.90
148,2026/01/06,063206663,eBay,$416.24
149,2026/03/13,091206745,Etsy,$350.79
150,2026/01/08,101205681,eBay,$485.94
151,2026/02/26,241270822,Target,$57.00
152,2026/03/01,104903498,Amazon,$68.01
153,2026/01/08,073918323,Best Buy,$212.24
154,2026/01/31,083000108,Walmart,$506.76
155,2026/01/21,031911812,eBay,$555.22
156,2026/02/17,211672531,Etsy,$291.62
157,2026/03/18,075909660,Target,$273.41
158,2026/01/31,021309997,eBay,$535.89
159,2026/03/08,101219279,Walmart,$131.60
160,2026/02/22,226071237,Best Buy,$414.22
161,2026/01/02,053112479,Walmart,$489.53
162,2026/02/25,122238543,Target,$541.02
163,2026/03/20,051403041,Walmart,$259.88
164,2026/01/30,065400894,Target,$306.49
165,2026/01/29,062202134,Target,$219.69
166,2026/02/23,041201936,Walmart,$262.61
167,2026/02/12,053111577,Walmart,$206.81
168,2026/03/20,065103625,Amazon,$25.35
169,2026/02/04,062006495,Best Buy,$270.66
170,2026/03/15,091212179,Best Buy,$78.62
171,2026/02/12,122000043,Walmart,$410.87
172,2026/02/09,083905203,Etsy,$509.58
173,2026/02/08,271974062,Target,$324.78
174,2026/03/01,121031673,Walmart,$522.11
175,2026/01/31,091301899,Walmart,$385.41
176,2026/02/12,071126269,Target,$395.02
177,2026/01/10,073910237,Walmart,$110.67
178,2026/02/09,101110640,Best Buy,$35.89
179,2026/02/25,064201243,eBay,$413.19
180,2026/01/20,081006052,Etsy,$224.39
181,2026/03/25,053111988,Walmart,$43.76
182,2026/01/25,103000017,eBay,$88.07
183,2026/01/22,042215060,Best Buy,$589.70
184,2026/03/23,082008923,Amazon,$153.70
185,2026/02/12,091901202,Walmart,$261.60
186,2026/02/16,081000210,Target,$38.66
187,2026/02/12,041207040,Walmart,$35.06
188,2026/02/03,081000702,Etsy,$539.04
189,2026/02/12,091210540,Walmart,$356.29
190,2026/03/08,125008288,Best Buy,$98.51
191,2026/02/24,063112809,Best Buy,$83.76
192,2026/02/22,322070019,Walmart,$49.63
193,2026/01/24,075911373,Target,$169.73
194,2026/01/12,221272442,Walmart,$362.05
195,2026/03/24,082902472,Walmart,$498.21
196,2026/03/25,314970664,Best Buy,$336.15
197,2026/02/03,067011142,Walmart,$56.42
198,2026/03/14,061121203,Walmart,$520.33
199,2026/02/28,101100692,Walmart,$195.21
200,2026/02/09,084202442,Walmart,$321.62
